BODY COEF,Comparison between trajectory models for firing table application - NWU - pg 77 pdf,,,,,,,,
M,Ca,Cad2,Cna,Cypa,Clp,Cma,Cmq,Cnpa,
,,,,,,,,,
0.010,0.1414,1.78,1.889,-0.71,-0.02768,3.342,-8.600,-1.16
0.400,0.1416,1.78,1.89,-0.71,-0.02794,3.339,-8.700,-1.16
0.600,0.1428,1.79,1.901,-0.71,-0.02782,3.369,-8.500,-1.16
0.700,0.1436,1.96,1.909,-0.72,-0.02769,3.391,-8.400,-1.26
0.750,0.1449,2.07,1.916,-0.72,-0.02750,3.430,-8.500,-1.28
0.800,0.1485,2.18,1.933,-0.74,-0.02747,3.497,-8.400,-1.23
0.850,0.1496,2.36,1.941,-0.76,-0.02751,3.600,-8.400,-1
0.875,0.1596,2.48,1.977,-0.77,-0.02735,3.673,-8.800,-0.84
0.900,0.1754,2.57,2.033,-0.79,-0.02706,3.741,-9.300,-0.84
0.925,0.195,2.74,2.112,-0.89,-0.02652,3.819,-10.000,-0.71
0.950,0.2288,2.9,2.194,-1.01,-0.02618,3.826,-10.800,-0.55
0.975,0.2733,3.08,2.269,-0.9,-0.02620,3.756,-11.100,-0.32
1.000,0.3237,3.27,2.328,-0.83,-0.02638,3.622,-11.400,-0.16
1.025,0.3573,3.46,2.385,-0.8,-0.02596,3.523,-11.300,-0.01
1.050,0.3795,3.69,2.425,-0.76,-0.02566,3.457,-11.300,0.05
1.100,0.3835,4.19,2.445,-0.71,-0.02530,3.416,-11.600,0.13
1.200,0.3812,4.69,2.476,-0.65,-0.02504,3.408,-12.600,0.15
1.350,0.3626,4.21,2.533,-0.58,-0.02448,3.377,-12.900,0.23
1.500,0.3462,3.72,2.621,-0.56,-0.02362,3.270,-13.000,0.31
1.750,0.3215,3.25,2.724,-0.54,-0.02274,3.141,-13.000,0.31
2.000,0.2972,2.74,2.812,-0.51,-0.02204,3.059,-12.400,0.33
2.250,0.2764,2.45,2.866,-0.5,-0.02120,2.975,-12.000,0.32
